Price,Close,High,Low,Open,Volume,RSI,SMA20,SMA50,Buy_Signal
Ticker,,,,,,,,,0
Date,,,,,,,,,0
2025-03-10,1238.4000244140625,1258.0,1235.4000244140625,1245.0,11931051.0,53.26915966403091,1215.4800048828124,,0
2025-03-11,1247.300048828125,1249.5,1229.75,1240.0,10089838.0,55.86678435652396,1215.1625061035156,,0
2025-03-12,1257.050048828125,1263.0,1244.0,1258.0,11977555.0,58.58291375731272,1216.272509765625,,0
2025-03-13,1247.9000244140625,1264.1500244140625,1243.8499755859375,1260.050048828125,9505270.0,55.152456104903294,1217.8400085449218,,0
2025-03-17,1238.8499755859375,1257.4000244140625,1233.0999755859375,1242.1500244140625,16640917.0,51.91441462213108,1218.9775085449219,,0
2025-03-18,1238.8499755859375,1238.8499755859375,1238.8499755859375,1238.8499755859375,0.0,51.91441462213108,1220.0575073242187,,0
2025-03-19,1247.1500244140625,1253.25,1238.800048828125,1241.050048828125,16162399.0,54.740751840166915,1221.1700073242187,,0
2025-03-20,1269.1500244140625,1273.0,1250.050048828125,1251.8499755859375,15971477.0,61.243287189816705,1223.3575073242187,,0
2025-03-21,1276.3499755859375,1281.0,1270.0999755859375,1275.0,21780769.0,63.111219926623065,1225.802508544922,,0
2025-03-24,1302.0999755859375,1306.0,1284.25,1291.0,20299319.0,68.88675216792555,1229.2575073242188,,0
2025-03-25,1285.449951171875,1307.699951171875,1282.5999755859375,1307.699951171875,13713899.0,62.11478237756927,1232.1225036621095,,0
2025-03-26,1273.050048828125,1293.800048828125,1268.75,1291.0,12074747.0,57.57532663074598,1235.0475036621094,,0
2025-03-27,1278.199951171875,1285.0,1271.300048828125,1278.1500244140625,15028056.0,58.9181659669423,1238.757501220703,,0
2025-03-28,1275.0999755859375,1295.75,1269.0,1280.0,18147129.0,57.73354948857723,1242.1575012207031,,0
2025-04-01,1252.5999755859375,1277.9000244140625,1249.300048828125,1264.5999755859375,12099648.0,49.89252263776614,1244.7825012207031,,0
2025-04-02,1251.1500244140625,1255.550048828125,1243.9000244140625,1247.550048828125,10142590.0,49.42665616656799,1248.7775024414063,,0
2025-04-03,1248.699951171875,1251.800048828125,1233.050048828125,1233.050048828125,7434366.0,48.60084605738537,1253.117498779297,,0
